Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,179.300003,179.759995,175.179993,175.580002,174.326172,7925300
2023-01-10,175.699997,176.139999,174.320007,175.160004,173.909180,5047500
2023-01-11,175.570007,175.720001,172.110001,174.880005,173.631180,6494800
2023-01-12,174.259995,174.710007,172.800003,174.000000,172.757462,4269400
2023-01-13,173.190002,174.009995,172.380005,173.429993,172.191513,6088000
2023-01-17,174.000000,174.580002,172.089996,172.360001,171.129166,6053300
2023-01-18,171.649994,172.000000,169.710007,169.759995,168.547729,7047800
2023-01-19,169.029999,171.279999,168.710007,169.529999,168.319382,6939500
2023-01-20,170.100006,170.110001,167.479996,168.740005,167.535019,8620600
2023-01-23,169.100006,169.630005,167.949997,168.309998,167.108093,8425400
2023-01-24,169.020004,170.990005,166.009995,168.309998,167.108093,10541800
2023-01-25,167.169998,169.509995,167.080002,169.509995,168.299515,7099800
2023-01-26,169.550003,169.910004,168.649994,168.889999,167.683945,6946100
2023-01-27,168.539993,168.869995,167.770004,168.229996,167.028656,6058100
2023-01-30,167.929993,168.539993,161.080002,162.000000,160.843155,23259100
2023-01-31,161.699997,163.429993,161.050003,163.419998,162.253006,11612500
2023-02-01,162.990005,165.979996,162.399994,164.919998,163.742294,9865300
2023-02-02,163.000000,166.220001,162.820007,165.539993,164.357864,10099000
2023-02-03,166.029999,166.339996,163.889999,164.610001,163.434509,6868500
2023-02-06,164.550003,164.850006,163.100006,163.360001,162.193436,7021000
2023-02-07,161.600006,163.880005,161.419998,163.399994,162.233139,7310800
2023-02-08,163.300003,164.559998,162.899994,163.610001,162.441650,6054700
2023-02-09,163.630005,164.800003,161.070007,161.399994,160.247421,7949500
2023-02-10,161.770004,162.789993,161.350006,162.149994,160.992065,7028000
2023-02-13,161.330002,162.820007,161.149994,162.750000,161.587799,6414700
2023-02-14,162.740005,162.970001,161.759995,162.039993,160.882858,6316000
2023-02-15,161.949997,161.979996,159.289993,159.369995,158.231918,12621800
2023-02-16,159.070007,159.649994,157.919998,158.240005,157.110001,11177000
2023-02-17,157.020004,161.110001,156.619995,160.389999,160.389999,12401900
2023-02-21,159.649994,160.350006,157.889999,158.000000,158.000000,9423900
2023-02-22,158.500000,158.850006,157.369995,157.779999,157.779999,9820200
2023-02-23,157.710007,158.589996,156.669998,157.729996,157.729996,9385100
2023-02-24,156.649994,156.850006,155.210007,155.970001,155.970001,8689700
2023-02-27,156.449997,156.899994,155.080002,155.630005,155.630005,7267100
2023-02-28,154.979996,155.270004,153.039993,153.259995,153.259995,9062300
2023-03-01,153.009995,153.240005,151.910004,152.570007,152.570007,6767000
2023-03-02,151.750000,152.759995,151.229996,152.449997,152.449997,8762500
2023-03-03,153.369995,154.119995,152.839996,154.020004,154.020004,5744500
2023-03-06,154.660004,155.729996,154.570007,155.559998,155.559998,8148200
2023-03-07,156.089996,156.250000,153.350006,154.089996,154.089996,7457400
