Date,Open,High,Low,Close,Adj Close,Volume
2000-04-01,11.730769,11.891026,9.262821,10.448718,8.645903,6180720
2000-05-01,10.416667,11.474359,10.016026,10.384615,8.592860,5001360
2000-06-01,10.544872,10.833333,8.878205,9.358974,7.744183,7670910
2000-07-01,9.358974,11.538462,8.942308,10.801282,8.937635,5738070
2000-08-01,10.769231,10.993590,9.391026,9.423077,7.797225,9798360
2000-09-01,9.871795,10.064103,8.589744,9.871795,8.168521,7195500
2000-10-01,10.096154,10.512821,9.423077,10.336538,8.553079,7972770
2000-11-01,10.192308,12.820513,10.192308,12.435897,10.290215,13114920
2000-12-01,12.259615,14.391026,12.259615,14.278846,11.815183,14265030
2001-01-01,14.102564,14.983974,12.724359,14.727564,12.186479,14828190
2001-02-01,14.567308,15.096154,13.846154,14.487179,11.987569,13148460
2001-03-01,14.423077,14.423077,10.480769,11.410256,9.441538,13821990
2001-04-01,11.314103,13.600000,11.041667,13.230769,10.947941,10888410
2001-05-01,13.617949,14.638462,13.328205,13.820513,11.435930,7278180
2001-06-01,13.846154,14.212821,12.446154,13.320513,11.022200,12581010
2001-07-01,13.076923,14.843590,12.817949,14.002564,11.586571,7710690
2001-08-01,14.102564,14.233333,12.692308,12.961538,10.725163,6188910
2001-09-01,12.820513,12.820513,8.461538,10.505128,8.692580,20102160
2001-10-01,10.317949,12.564103,10.269231,11.984615,9.916797,12341160
2001-11-01,11.858974,15.448718,11.802564,14.871795,12.305824,26275470
2001-12-01,14.894872,16.538462,14.512821,16.435898,13.600059,13390260
2002-01-01,16.133333,17.261538,15.035897,16.538462,13.684925,9869535
2002-02-01,16.574360,17.553846,15.215385,16.369230,13.544893,10322715
2002-03-01,16.451283,17.728205,15.276923,15.389744,12.734407,4648215
2002-04-01,15.564103,16.215385,14.400000,15.897436,13.154503,4093830
2002-05-01,16.005129,16.153847,14.215385,15.697436,12.989011,5954130
2002-06-01,15.892308,19.282051,15.692308,17.882051,14.796695,10502505
2002-07-01,17.892307,18.205128,14.169231,16.492308,13.646735,10839075
2002-08-01,16.666668,18.400000,15.969231,16.774359,13.880121,6567405
2002-09-01,16.676924,17.574360,15.764103,17.379486,14.380839,10544235
2002-10-01,17.235897,19.328205,15.117949,19.082050,15.789644,11534250
2002-11-01,19.200001,24.717949,19.148718,22.466667,18.590281,13877370
2002-12-01,22.835897,22.835897,19.692308,20.082050,16.617105,29267940
2003-01-01,20.302565,22.666668,18.164103,20.276922,16.778353,20250945
2003-02-01,20.764103,21.461538,18.512821,19.589745,16.209742,23008635
2003-03-01,19.615385,23.148718,16.861538,21.353846,17.669466,24219975
2003-04-01,21.000000,22.733334,20.220512,20.343590,16.833519,17608890
2003-05-01,20.497437,22.102564,19.758974,21.261538,17.593086,26883480
2003-06-01,21.789743,23.205128,18.974360,23.035896,19.061296,34971690
2003-07-01,22.964104,23.333332,20.384615,21.892307,18.115021,29615040
2003-08-01,21.841026,23.025640,20.923077,21.738462,17.987722,13764270
2003-09-01,21.799999,24.092308,20.379486,20.743589,17.164503,17812860
2003-10-01,20.774359,27.200001,20.774359,26.235897,21.709173,31313880
2003-11-01,26.410255,26.610256,22.835897,24.020514,19.876030,11995230
2003-12-01,24.287180,26.574360,22.974360,25.979486,21.497004,16061955
2004-01-01,26.153847,29.861538,17.492308,17.948717,14.851857,65162955
2004-02-01,18.205128,20.528206,16.605127,17.748718,14.686365,37354395
2004-03-01,17.897436,18.605127,15.446154,17.533333,14.508142,23604165
2004-04-01,17.507692,19.348719,17.005129,17.087179,14.138968,15219945
2004-05-01,17.015385,17.056410,15.307692,15.738462,13.022958,14235780
2004-06-01,15.656410,17.092308,15.641026,16.810255,13.909823,11631750
2004-07-01,16.794872,18.651281,16.025640,16.056410,13.286047,14355705
2004-08-01,16.005129,16.312820,14.994872,15.923077,13.175718,16574610
2004-09-01,16.102564,16.153847,14.933333,14.974359,12.390692,17324775
2004-10-01,15.117949,15.384615,13.323077,14.758974,12.212469,32793735
2004-11-01,14.753846,20.282051,14.282051,20.076923,16.612864,33958665
2004-12-01,20.338463,22.676924,20.041025,20.897436,17.291805,27752400
2005-01-01,21.030769,24.317949,20.666668,24.015385,19.871786,23495940
2005-02-01,23.897436,25.769232,22.369230,22.415384,18.547850,21506550
2005-03-01,22.569231,23.215385,21.369230,22.446154,18.573307,18150015
2005-04-01,22.471794,23.235897,20.256411,20.564102,17.015984,13266630
2005-05-01,20.564102,23.717949,20.169231,23.430769,19.388039,16933215
2005-06-01,23.205128,24.379486,22.564102,22.994871,19.027349,14217645
2005-07-01,23.117949,25.435898,22.323076,24.005129,19.863298,10839270
2005-08-01,24.466667,25.476923,23.405128,23.482052,19.430473,9475830
2005-09-01,23.738462,24.805128,22.938461,23.348719,19.320145,9859005
2005-10-01,23.133333,25.641026,22.825642,25.420513,21.034473,10745085
